price,guests,beds,bedrooms,baths,superhost,favourite,rating,reviews,latitude,longitude,area_Ampelokipoi-Menemeni,area_Evosmos,area_Stavroupoli,parking,view,self_checkin
83.0,2,1.0,1.0,1.0,0,0,4.0,93.0,40.64211,22.93116,1,0,0,0,0,1
42.0,2,1.0,0.0,1.0,0,0,4.0,77.0,40.64064,22.93317,1,0,0,0,0,1
94.2,2,1.0,0.0,1.0,0,0,4.0,79.0,40.64143,22.93309,1,0,0,0,0,1
42.0,2,1.0,0.0,1.0,0,0,4.0,58.0,40.64175,22.93135,1,0,0,0,0,1
61.1,7,4.0,2.0,1.0,1,1,4.0,103.0,40.67014,22.92333,1,0,0,0,0,0
38.6,5,3.0,1.0,1.0,1,0,4.0,92.0,40.6778,22.9351,1,0,0,1,0,1
72.8,6,3.0,2.0,1.0,1,1,4.0,56.0,40.67755,22.9349,1,0,0,1,1,1
40.4,2,1.0,1.0,1.0,1,0,4.0,76.0,40.67812,22.93492,1,0,0,0,1,1
143.36,3,1.0,1.0,1.0,1,0,4.0,100.0,40.64049,22.96023,1,0,0,0,0,1
58.5,4,2.0,1.0,1.0,1,1,4.0,65.0,40.6662,22.9039,1,0,0,0,1,1
44.0,4,2.0,1.0,1.0,1,1,4.0,101.0,40.6662,22.9039,1,0,0,0,0,1
58.0,4,1.0,1.0,1.0,1,1,4.0,239.0,40.63695,22.94297,1,0,0,0,0,1
113.28,8,7.0,4.0,2.0,0,1,4.0,30.0,40.66867,22.92705,1,0,0,1,0,1
72.15,2,1.0,1.0,1.0,1,0,4.0,27.0,40.6535,22.9535,1,0,0,0,0,1
106.69,6,3.0,2.0,2.0,1,1,4.0,51.0,40.67892,22.93646,1,0,0,1,0,1
62.0,6,3.0,2.0,1.0,1,1,4.0,126.0,40.64229,22.9336,0,1,0,0,0,1
55.23,2,1.0,1.0,1.0,1,1,5.0,54.0,40.66832,22.949,0,1,0,0,0,0
65.8,3,2.0,1.0,1.0,0,0,4.0,12.0,40.6697,22.8895,0,1,0,0,0,0
90.48,3,3.0,2.0,1.0,1,1,4.0,50.0,40.66664,22.91616,0,1,0,0,0,1
58.75,2,1.0,0.0,1.0,1,1,5.0,49.0,40.6687,22.9483,0,1,0,0,0,0
77.5,4,2.0,1.0,1.0,1,1,4.0,92.0,40.64361,22.928,0,1,0,0,0,1
87.47,4,2.0,2.0,1.0,1,1,5.0,9.0,40.6682,22.9188,0,1,0,1,0,0
68.39,6,4.0,2.0,1.0,1,1,5.0,21.0,40.6877,23.0025,0,1,0,0,0,0
65.0,2,1.0,1.0,1.0,1,1,4.0,67.0,40.60379043525244,22.961986420332124,0,1,0,0,0,1
55.0,2,1.0,0.0,1.0,1,0,4.0,81.0,40.65004,22.92965,0,1,0,0,0,1
102.23,4,1.0,1.0,1.0,1,1,5.0,29.0,40.6653,22.9176,0,1,0,0,0,0
66.2,4,3.0,1.0,1.0,0,0,4.0,89.0,40.6426,22.9455,0,1,0,0,0,1
51.98,2,1.0,0.0,1.0,0,0,4.0,46.0,40.64563,22.92272,0,1,0,0,1,1
54.22,2,1.0,0.0,1.0,0,0,4.0,208.0,40.619530110473605,22.959513382125,0,1,0,0,0,1
246.0,16,10.0,7.0,2.0,0,0,4.0,17.0,40.5755,23.0104,0,1,0,1,0,1
90.01,4,1.0,1.0,1.0,1,1,5.0,14.0,40.6629,22.9169,0,1,0,0,0,1
138.0,10,6.0,2.0,1.0,1,0,4.0,216.0,40.652,22.9484,0,1,0,0,1,1
73.0,2,1.0,1.0,1.0,0,0,4.0,71.0,40.64558847528183,22.92169199176557,0,1,0,0,1,1
52.34,2,1.0,1.0,1.0,0,0,4.0,42.0,40.64389295635661,22.91975241603709,0,1,0,0,1,1
125.73,8,4.0,3.0,2.0,0,0,4.0,5.0,40.6603,22.9071,0,1,0,0,0,1
97.53,4,2.0,2.0,1.0,1,1,4.0,104.0,40.64923338282225,22.93592074389453,0,1,0,0,0,1
53.35,4,2.0,1.0,1.0,0,1,4.0,69.0,40.6396,22.9453,0,1,0,0,0,1
100.0,5,2.0,1.0,1.0,1,1,5.0,18.0,40.6588,22.9323,0,1,0,0,0,1
64.0,2,1.0,1.0,1.0,1,0,4.0,76.0,40.6411,22.9352,0,1,0,0,0,1
97.85,6,3.0,2.0,1.0,0,0,4.11267716535433,0.0,40.66873,22.91681,0,1,0,0,0,0
60.0,4,2.0,1.0,1.0,1,0,4.0,41.0,40.62837144577212,22.95134631977916,0,1,0,0,0,1
74.0,4,2.0,1.0,1.0,1,1,4.0,21.0,40.6538,22.9172,0,1,0,1,0,0
91.6,6,5.0,2.0,2.0,0,0,4.11267716535433,0.0,40.66814961800062,22.921927982124,0,1,0,0,0,1
129.26,4,2.0,2.0,1.0,0,0,4.11267716535433,0.0,40.6629,22.9168,0,1,0,0,0,1
71.0,5,3.0,2.0,2.0,1,0,4.0,33.0,40.61317,22.95565,0,1,0,0,0,1
220.91,6,3.0,3.0,1.0,0,0,4.11267716535433,0.0,40.6694,22.8973,0,1,0,0,0,1
70.5,5,3.0,2.0,1.0,1,1,4.0,14.0,40.65427,22.9535,0,1,0,0,0,1
